AUTHOR,TITLE,SERIES,NARATOR
Dennis E. Taylor,We Are Legion (We Are Bob),"Bobiverse, Book 1",Ray Porter
Dennis E. Taylor,For We Are Many,"Bobiverse, Book 2",Ray Porter
Dennis E. Taylor,All These Worlds,"Bobiverse, Book 3",Ray Porter
Dennis E. Taylor,Heaven's River,"Bobiverse, Book 4",Ray Porter
Dennis E. Taylor,The Singularity Trap,,Ray Porter
Diana Gabaldon,Outlander,"Outlander, Book 1",Davina Porter
Don Winslow,The Power of the Dog,"Power of the Dog, Book 1",Ray Porter
Douglas Adams,The Hitchhiker's Guide to the Galaxy,"Hitchhiker's Guide to the Galaxy, Book 1",Stephen Fry
"Douglas Preston , Lincoln Child",Relic,"Agent Pendergast Series, Book 1",David Colacci
"Douglas Preston , Lincoln Child",White Fire,"Agent Pendergast Series, Book 13",Rene Auberjonois
"Douglas Preston , Lincoln Child",Reliquary,"Agent Pendergast Series, Book 2",Dick Hill
"Douglas Preston , Lincoln Child",The Cabinet of Curiosities: Booktrack Edition,"Agent Pendergast Series, Book 3",Jonathan Marosz
"Douglas Preston , Lincoln Child",Still Life with Crows,"Agent Pendergast Series, Book 4",Scott Brick
Drew Hayes,NPCs,"Spells, Swords, & Stealth, Book 1",Roger Wayne
Drew Hayes,Super Powereds: Year 1,"Super Powereds, Book 1",Kyle McCarley
Drew Hayes,Second Hand Curses,,"Scott Aiello , Marc Vietor , Tavia Gilbert"
Drew Magary,The Hike,,Christopher Lane
Edgar Allan Poe,Edgar Allan Poe's The Tell-Tale Heart and Other Stories,,Earl Hammond
Elizabeth Peters,Crocodile on the Sandbank,"Amelia Peabody, Book 1",Barbara Rosenblat
Eoin Colfer,Artemis Fowl Movie Tie-In Edition,"Artemis Fowl, Book 1",Nathaniel Parker
Ernest Cline,Ready Player One,"Ready Player One, Book 1",Wil Wheaton
Ernest Cline,Ready Player Two,"Ready Player One, Book 2",Wil Wheaton
Ernest Cline,Armada,,Wil Wheaton
Evan Winter,The Rage of Dragons,"The Burning, Book 1",Prentice Onayemi
Faith Hunter,Junkyard Cats,"Shining Smith, Book 1",Khristine Hvam
Frank Herbert,Dune,"Dune, Book 1, Dune Saga, Book 12","Scott Brick , Orlagh Cassidy , Euan Morton , Simon Vance , Ilyana Kadushin"
G. Akella,Patch 17,"Realm of Arkon, Book 1",Zach Villa
Gail Carriger,Soulless,,Emily Gray
Gary Chapman,The Five Love Languages: The Secret to Love That Lasts,,Gary Chapman
George R. R. Martin,With Morning Comes Mistfall: Free Story,,Claudia Black
H. G. Wells,The Invisible Man,,James Adams
H. G. Wells,The Island of Dr. Moreau,,Simon Prebble
Hans Christian Andersen,The Snow Queen,,Julia Whelan
Helene Wecker,The Golem and the Jinni,,George Guidall
Howard Pyle,The Merry Adventures of Robin Hood,,David Thorn
Isaac Asimov,Foundation,"Foundation, Book 1",Scott Brick
J. D. Robb,Naked in Death,"In Death, Book 1",Susan Ericksen
J. R. R. Tolkien,The Hobbit,"The Lord of the Rings, Book 0.5",Rob Inglis
J. R. R. Tolkien,The Fellowship of the Ring,"The Lord of the Rings, Book 1",Rob Inglis
J. R. R. Tolkien,The Two Towers,"The Lord of the Rings, Book 2",Rob Inglis
J. R. R. Tolkien,The Return of the King,"The Lord of the Rings, Book 3",Rob Inglis
J. S. Morin,"Galaxy Outlaws: The Complete Black Ocean Mobius Missions, 1-16.5",,Mikael Naramore
J. Zachary Pike,Orconomics: A Satire,"The Dark Profit Saga, Book 1",Doug Tisdale Jr.
J.K. Rowling,"Harry Potter and the Sorcerer's Stone, Book 1","Harry Potter, Book 1, Wizarding World, Book 1",Jim Dale
J.K. Rowling,"Harry Potter and the Chamber of Secrets, Book 2","Harry Potter, Book 2, Wizarding World, Book 2",Jim Dale
J.K. Rowling,"Harry Potter and the Prisoner of Azkaban, Book 3","Harry Potter, Book 3, Wizarding World, Book 3",Jim Dale
J.K. Rowling,"Harry Potter and the Goblet of Fire, Book 4","Harry Potter, Book 4, Wizarding World, Book 4",Jim Dale
J.K. Rowling,"Harry Potter and the Order of the Phoenix, Book 5","Harry Potter, Book 5, Wizarding World, Book 5",Jim Dale
J.K. Rowling,"Harry Potter and the Half-Blood Prince, Book 6","Harry Potter, Book 6, Wizarding World, Book 6",Jim Dale
J.K. Rowling,"Harry Potter and the Deathly Hallows, Book 7","Harry Potter, Book 7, Wizarding World, Book 7",Jim Dale
J.K. Rowling,The Tales of Beedle the Bard,"Wizarding World, Wizarding World","Warwick Davis , Noma Dumezweni , Jason Isaacs , Jude Law , Evanna Lynch , Sally Mortemore , Bonnie Wright"
Jack Campbell,The Lost Fleet: Dauntless,"Lost Fleet, Book 1","Christian Rummel , Jack Campbell"
Jack Campbell,The Dragons of Dorcastle,"The Pillars of Reality, Book 1",MacLeod Andrews
"Jacob Stein , Jason Rabinowitz , The Pop Ups",Jukebox Joyride,,"Jason Rabinowitz , Jacob Stein , Cara Samantha , Susan Bennett , Noel MacNeal , Carly Ciarrocchi"
James Islington,The Shadow of What Was Lost,"The Licanius Trilogy, Book 1",Michael Kramer
James S. A. Corey,Caliban's War,"The Expanse, Book 2",Jefferson Mays
James S. A. Corey,Abaddon's Gate,"The Expanse, Book 3",Jefferson Mays
James S. A. Corey,Leviathan Wakes,,Jefferson Mays
Jane Austen,Persuasion,,Juliet Stevenson
Jared Diamond,"Guns, Germs and Steel",,Doug Ordunio
"Jason Anspach , Nick Cole",Galaxy's Edge,"Galaxy's Edge Series, Book 1",R.C. Bray
Jean M. Auel,The Clan of the Cave Bear,"Earth's Children®, Book 1",Sandra Burr
Jean M. Auel,The Valley of Horses,"Earth's Children®, Book 2",Sandra Burr
Jeaniene Frost,Halfway to the Grave,"Night Huntress, Book 1",Tavia Gilbert
Jeaniene Frost,One Foot in the Grave,"Night Huntress, Book 2",Tavia Gilbert
Jeaniene Frost,At Grave's End,"Night Huntress, Book 3",Tavia Gilbert
Jim Bernheimer,Confessions of a D-List Supervillain,"D-List Supervillain, Book 2","Jeffrey Kafer , Talmadge Ragan"
Jim Butcher,Furies of Calderon,"Codex Alera, Book 1",Kate Reading
Jim Butcher,Academ's Fury,"Codex Alera, Book 2",Kate Reading
Jim Butcher,Cursor's Fury,"Codex Alera, Book 3",Kate Reading
Jim Butcher,Captain's Fury,"Codex Alera, Book 4",Kate Reading
Jim Butcher,Princeps' Fury,"Codex Alera, Book 5",Kate Reading
Jim Butcher,First Lord's Fury,"Codex Alera, Book 6",Kate Reading
Jim Butcher,The Aeronaut's Windlass,"The Cinder Spires, Book 1",Euan Morton
Jim Butcher,Working for Bigfoot,The Dresden Files,James Marsters
Jim Butcher,Storm Front,"The Dresden Files, Book 01",James Marsters
Jim Butcher,Death Masks,"The Dresden Files, Book 05",James Marsters
Jim Butcher,Blood Rites,"The Dresden Files, Book 06",James Marsters
Jim Butcher,Dead Beat,"The Dresden Files, Book 07",James Marsters
Jim Butcher,Proven Guilty,"The Dresden Files, Book 08",James Marsters
Jim Butcher,White Night,"The Dresden Files, Book 09",James Marsters
Jim Butcher,Small Favor,"The Dresden Files, Book 10",James Marsters
Jim Butcher,Turn Coat,"The Dresden Files, Book 11",James Marsters
Jim Butcher,Changes,"The Dresden Files, Book 12",James Marsters
Jim Butcher,Side Jobs,"The Dresden Files, Book 12.5",James Marsters
Jim Butcher,Ghost Story,"The Dresden Files, Book 13",James Marsters
Jim Butcher,"Ghost Story: The Dresden Files, Book 13","The Dresden Files, Book 13",John Glover
Jim Butcher,Cold Days,"The Dresden Files, Book 14",James Marsters
Jim Butcher,Skin Game,"The Dresden Files, Book 15",James Marsters
Jim Butcher,Brief Cases,"The Dresden Files, Book 15.5","James Marsters , Jim Butcher , Cassandra Campbell , Julia Whelan , Oliver Wyman"
Jim Butcher,Peace Talks,"The Dresden Files, Book 16",James Marsters
Jim Butcher,Battle Ground,"The Dresden Files, Book 17",James Marsters
John Scalzi,Lock In (Narrated by Wil Wheaton),"Lock In Series, Book 1",Wil Wheaton
John Scalzi,Head On (Narrated by Wil Wheaton),"Lock In Series, Book 2",Wil Wheaton
John Scalzi,Old Man's War,"Old Man's War, Book 1",William Dufris
John Scalzi,The Ghost Brigades,"Old Man's War, Book 2",William Dufris
John Scalzi,The Last Colony,"Old Man's War, Book 3",William Dufris
John Scalzi,The Dispatcher,"The Dispatcher, Book 1",Zachary Quinto
John Scalzi,The B-Team,"The Human Division, Episode 1",William Dufris
John Scalzi,The Collapsing Empire,"The Interdependency, Book 1",Wil Wheaton
John Scalzi,The Consuming Fire,"The Interdependency, Book 2",Wil Wheaton
John Scalzi,The Last Emperox,"The Interdependency, Book 3",Wil Wheaton
John Scalzi,Agent to the Stars,,Wil Wheaton
John Scalzi,Fuzzy Nation,,"Wil Wheaton , John Scalzi - introduction"
John Scalzi,Miniatures,,"Khristine Hvam , Peter Ganim , Luke Daniels , John Scalzi , Greg Cope White , Fred Berman"
John Scalzi,Redshirts,,Wil Wheaton
John Scalzi,The Android's Dream,,Wil Wheaton
Jonah Berger,The Catalyst,,"Keith Nobbs , Fred Irby"
Jonas Jonasson,The 100-Year-Old Man Who Climbed Out the Window and Disappeared,,Steven Crossley
Jonathan Renshaw,Dawn of Wonder,"The Wakening, Book 1",Tim Gerard Reynolds
Joshua Gayou,Commune,"Commune Series, Book 1",R.C. Bray
Jules Verne,Around the World in 80 Days,,Patrick Tull
Karin Slaughter,Pretty Girls,,Kathleen Early
"Kate McKinnon , Emily Lynne",Heads Will Roll,,"Kate McKinnon , Emily Lynne , Tim Gunn , Meryl Streep , Peter Dinklage , full cast"
Kathryn Stockett,The Help,,"Jenna Lamia , Bahni Turpin , Octavia Spencer , Cassandra Campbell"
Kevin Hearne,Hounded,"Iron Druid Chronicles, Book 1",Luke Daniels
Kevin Hearne,Hexed,"Iron Druid Chronicles, Book 2",Luke Daniels
Kevin Hearne,Hammered,"Iron Druid Chronicles, Book 3",Luke Daniels
Kevin Hearne,Tricked,"Iron Druid Chronicles, Book 4",Luke Daniels
Kevin Hearne,The Purloined Poodle,"Iron Druid Chronicles, Book 8.5",Luke Daniels
Kevin Hearne,Oberon's Meaty Mysteries: The Squirrel on the Train,"Iron Druid Chronicles, Book 8.75",Luke Daniels
Kim Harrison,Dead Witch Walking,"The Hollows, Book 1",Marguerite Gavin
Kim Harrison,"The Good, the Bad, and the Undead","The Hollows, Book 2",Marguerite Gavin
L. Frank Baum,The Wonderful Wizard of Oz,"Oz, Book 1",Anne Hathaway
L. M. Montgomery,Anne of Windy Poplars,"Anne of Green Gables, Book 4",Tara Ward
L.A. Meyer,Bloody Jack,"Bloody Jack, Book 1",Katherine Kellgren
L.M. Montgomery,Anne of the Island,"Anne of Green Gables, Book 3",Barbara Caruso
L.M. Montgomery,Anne's House of Dreams,"Anne of Green Gables, Book 5",Susan O'Malley
Larry Correia,Hard Magic,"Grimnoir Chronicles, Book 1",Bronson Pinchot
Larry Correia,Spellbound,"Grimnoir Chronicles, Book 2",Bronson Pinchot
Larry Correia,Warbound,"Grimnoir Chronicles, Book 3",Bronson Pinchot
Larry Correia,"The Adventures of Tom Stranger, Interdimensional Insurance Agent","The Adventures of Tom Stranger, Interdimensional Insurance Agent ",Adam Baldwin
Larry Niven,Ringworld,"Ringworld, Book 1, Known Space, Book 12",Tom Parker
Lauren Oliver,Delirium,"Delirium Trilogy, Book 1",Sarah Drew
Lee Bacon,Interview with the Robot,,"Kevin T. Collins , Ellen Archer , Josh Hurley , Eileen Stevens , Erin Mallon , Jonathan Davis , Stephen Bel Davies"
Lee Child,Killing Floor,"Jack Reacher, Book 1",Dick Hill
Lev Tolstoj,"Vojna i mir. Tom 1, 2","Vojna i mir. Tom 1, 2",Evgeny Ternovsky
Lev Tolstoj,"Vojna i mir. Tom 3, 4","Vojna i mir. Tom 3, 4",Evgeny Ternovsky
Lian Hearn,Across the Nightingale Floor,"Tales of the Otori, Book 1","Kevin Gray , Aiko Nakasone"
Lucy Maud Montgomery,Anne of Green Gables,"Anne of Green Gables, Book 1",Rachel McAdams
Lucy Maud Montgomery,Anne of Avonlea,"Anne of Green Gables, Book 2",Shelly Frasier
Madeline Miller,Circe,,Perdita Weeks
"Marcus Aurelius , George Long - translator , Duncan Steen - translator",Meditations,,Duncan Steen
Maria V. Snyder,Magic Study,"The Chronicles of Ixia, Book 2",Gabra Zackman
Mark Lawrence,Red Sister,"Books of the Ancestor, Book 1",Heather O'Neill
Mark Twain,The Adventures of Tom Sawyer,"Twain's Tom and Huck, Book 1",Dick Hill
Mark Twain,Adventures of Huckleberry Finn: A Signature Performance by Elijah Wood,"Twain's Tom and Huck, Book 2",Elijah Wood
Marko Kloos,Terms of Enlistment,"Frontlines, Book 1",Luke Daniels
Marko Kloos,Lines of Departure,"Frontlines, Book 2",Luke Daniels
Marko Kloos,Angles of Attack,"Frontlines, Book 3",Luke Daniels
Martha Wells,All Systems Red,"Murderbot Diaries, Book 1",Kevin R. Free
Michael Atamanov,Video Game Plotline Tester,"The Dark Herbalist, Book 1",Eric Michael Summerer
Michael Buckley,The Fairy-Tale Detectives,"Sisters Grimm, Book 1",L. J. Ganser
Michael Connelly,The Lincoln Lawyer,"A Lincoln Lawyer Novel, Book 1",Adam Grupper
Michael Connelly,The Brass Verdict,"A Lincoln Lawyer Novel, Book 2",Peter Giles
Michael Connelly,The Reversal,"A Lincoln Lawyer Novel, Book 3",Peter Giles
Michael Connelly,The Fifth Witness,"A Lincoln Lawyer Novel, Book 4",Peter Giles
Michael Connelly,The Gods of Guilt,"A Lincoln Lawyer Novel, Book 5",Peter Giles
Michael Connelly,Angle of Investigation,Harry Bosch,Len Cariou
Michael Connelly,Suicide Run,Harry Bosch,Len Cariou
Michael Connelly,The Black Echo,"Harry Bosch, Book 01",Dick Hill
Michael Connelly,The Black Ice,"Harry Bosch, Book 02",Dick Hill
Michael Connelly,The Concrete Blonde,"Harry Bosch, Book 03",Dick Hill
Michael Connelly,The Last Coyote,"Harry Bosch, Book 04",Dick Hill
Michael Connelly,Trunk Music,"Harry Bosch, Book 05",Dick Hill
Michael Connelly,Angels Flight,"Harry Bosch, Book 06",Peter Giles
Michael Connelly,A Darkness More than Night,"Harry Bosch, Book 07, Terry McCaleb, Book 2,",Richard M. Davidson
Michael Connelly,City of Bones,"Harry Bosch, Book 08",Peter J. Fernandez
Michael Connelly,Lost Light,"Harry Bosch, Book 09",Len Cariou
Michael Connelly,The Narrows,"Harry Bosch, Book 10",Len Cariou
Michael Connelly,The Closers,"Harry Bosch, Book 11",Len Cariou
Michael Connelly,Echo Park,"Harry Bosch, Book 12",Len Cariou
Michael Connelly,The Overlook,"Harry Bosch, Book 13",Len Cariou
Michael Connelly,Nine Dragons,"Harry Bosch, Book 14",Len Cariou
Michael Connelly,The Drop,"Harry Bosch, Book 15",Len Cariou
Michael Connelly,The Black Box,"Harry Bosch, Book 16",Michael McConnohie
Michael Connelly,The Burning Room,"Harry Bosch, Book 17",Titus Welliver
Michael Connelly,The Crossing,"Harry Bosch, Book 18",Titus Welliver
Michael Connelly,The Wrong Side of Goodbye,"Harry Bosch, Book 19",Titus Welliver
Michael Connelly,Two Kinds of Truth,"Harry Bosch, Book 20",Titus Welliver
Michael Connelly,Dark Sacred Night,"Harry Bosch, Book 21, A Renée Ballard and Harry Bosch Novel, Book 2","Christine Lakin , Titus Welliver"
Michael Connelly,The Night Fire,"Harry Bosch, Book 22, A Renée Ballard and Harry Bosch Novel, Book 3","Christine Lakin , Titus Welliver"
Michael Connelly,Blood Work,"Terry McCaleb, Book 1",Dick Hill
Michael J. Sullivan,Age of Myth,"Legends of the First Empire, Book 1",Tim Gerard Reynolds
Michael J. Sullivan,Age of Swords,"Legends of the First Empire, Book 2",Tim Gerard Reynolds
Michael J. Sullivan,Theft of Swords,"Riyria Revelations, Book 1",Tim Gerard Reynolds
Michael J. Sullivan,Rise of Empire,"Riyria Revelations, Book 2",Tim Gerard Reynolds
Michael J. Sullivan,Professional Integrity (A Riyria Chronicles Tale),The Riyria Chronicles,Tim Gerard Reynolds
Michael J. Sullivan,The Jester (A Riyria Chronicles Tale),The Riyria Chronicles,Tim Gerard Reynolds
Michael J. Sullivan,The Crown Tower,"The Riyria Chronicles, Book 1",Tim Gerard Reynolds
Michael J. Sullivan,The Rose and the Thorn,"The Riyria Chronicles, Book 2",Tim Gerard Reynolds
Mitchell Hogan,A Crucible of Souls,"Sorcery Ascendant, Book 1",Oliver Wyman
Molly Harper,Nice Girls Don't Have Fangs,"Half-Moon Hollow, Book 1",Amanda Ronconi
Molly Harper,Nice Girls Don't Date Dead Men,"Half-Moon Hollow, Book 2",Amanda Ronconi
Molly Harper,Nice Girls Don't Live Forever,"Half-Moon Hollow, Book 3",Amanda Ronconi
Molly Harper,Nice Girls Don't Bite Their Neighbors,"Half-Moon Hollow, Book 4",Amanda Ronconi
Molly Harper,Driving Mr. Dead,"Half-Moon Hollow, Book 5",Amanda Ronconi
Molly Harper,I'm Dreaming of an Undead Christmas,"Half-Moon Hollow, Book 8",Amanda Ronconi
Molly Harper,Even Tree Nymphs Get the Blues,"Mystic Bayou, Book 2.5","Amanda Ronconi , Jonathan Davis"
Molly Harper,The Art of Seducing a Naked Werewolf,"Naked Werewolf, Book 2",Amanda Ronconi
N. K. Jemisin,The Fifth Season,"The Broken Earth, Book 1",Robin Miles
N. K. Jemisin,The Obelisk Gate: Booktrack Edition,"The Broken Earth, Book 2",Robin Miles
N. K. Jemisin,The Stone Sky,"The Broken Earth, Book 3",Robin Miles
Neal Stephenson,Seveneves,,"Mary Robinette Kowal , Will Damron"
Neal Stephenson,Snow Crash,,Jonathan Davis
Neal Stephenson,The Diamond Age,,Jennifer Wiltsie
Neil Gaiman,American Gods: The Tenth Anniversary Edition (A Full Cast Production),"American Gods, Book 1","Ron McLarty , Daniel Oreskes , full cast"
Neil Gaiman,Anansi Boys,"American Gods, Book 2",Lenny Henry
Neil Gaiman,Neverwhere,,Neil Gaiman
Neil Gaiman,Norse Mythology,,Neil Gaiman
Neil Gaiman,The Graveyard Book,,Neil Gaiman
"Neil Gaiman , Terry Pratchett",Good Omens,,Martin Jarvis
Nora Roberts,Year One,"Chronicles of The One, Book 1",Julia Whelan
Nora Roberts,The Witness,,Julia Whelan
"O. Henry , William Sydney Porter",O. Henry: Complete Short Stories Collection,,Bob Thomley
Orson Scott Card,Ender's Game,"Ender's Game, Book 1, The Enderverse, Book 5","Stefan Rudnicki , Harlan Ellison , Gabrielle de Cuir"
Orson Scott Card,Ender's Shadow,"Ender's Shadow, Book 1, The Enderverse, Book 6","Scott Brick , Gabrielle de Cuir , full cast"
Orson Scott Card,The Lost Gate,"Mithermages, Book 1","Stefan Rudnicki , Emily Janice Card"
Oscar Wilde,The Importance of Being Earnest: Free Performance,,"James Marsters , Charles Busch , Emily Bergl , Neil Dickson , Jill Gascoine , Christopher Neame , Matthew Wolf"
Oscar Wilde,The Picture of Dorian Gray,,Simon Vance
Pat Frank,"Alas, Babylon",,Will Patton
Patricia Briggs,Moon Called,"Mercy Thompson, Book 1",Lorelei King
Patrick Rothfuss,The Name of the Wind,"Kingkiller Chronicle, Book 1",Nick Podehl
Patrick Rothfuss,The Wise Man's Fear,"Kingkiller Chronicle, Book 2",Nick Podehl
Paulo Coelho,The Alchemist,,Jeremy Irons
Peter Clines,14,Threshold Universe,Ray Porter
Peter Clines,The Fold,Threshold Universe,Ray Porter
Peter Clines,Paradox Bound,,Ray Porter
Peter Swanson,The Kind Worth Killing,,"Johnny Heller , Karen White , Kathleen Early , Keith Szarabajka"
Peter V. Brett,The Warded Man,"The Demon Cycle, Book 1",Pete Bradbury
Peter V. Brett,The Desert Spear,"The Demon Cycle, Book 2",Pete Bradbury
Pittacus Lore,The Power of Six,"The Lorien Legacies, Book 2","Neil Kaplan , Marisol Ramirez"
R. A. Salvatore,Homeland,"Legend of Drizzt, Book 1",Victor Bevine
R. A. Salvatore,The Crystal Shard,"Legend of Drizzt, Book 4",Victor Bevine
Rafael Sabatini,Captain Blood,,Robert Whitfield
Rhys Bowen,Her Royal Spyness,"Royal Spyness, Book 1",Katherine Kellgren
Rhys Bowen,A Royal Pain,"Royal Spyness, Book 2",Katherine Kellgren
Rhys Bowen,Royal Flush,"Royal Spyness, Book 3",Katherine Kellgren
Rhys Bowen,Naughty in Nice,"Royal Spyness, Book 5",Katherine Kellgren
Rhys Bowen,The Twelve Clues of Christmas,"Royal Spyness, Book 6",Katherine Kellgren
Rhys Bowen,Heirs and Graces,"Royal Spyness, Book 7",Katherine Kellgren
Rhys Bowen,Queen of Hearts,"Royal Spyness, Book 8",Katherine Kellgren
Rhys Bowen,Malice at the Palace,"Royal Spyness, Book 9",Katherine Kellgren
Rhys Bowen,Masked Ball at Broxley Manor,,Katherine Kellgren
Richard Adams,Watership Down,,Ralph Cosham
Richard Matheson,I Am Legend,,Robertson Dean
Rick Riordan,The Red Pyramid,"Kane Chronicles, Book 1","Kevin R. Free , Katherine Kellgren"
Robert A. Heinlein,Starship Troopers,,Lloyd James
Robert A. Heinlein,Stranger in a Strange Land,,Christopher Hurt
Robert A. Heinlein,The Moon Is a Harsh Mistress,,Lloyd James
Robert Bevan,Critical Failures,"Caverns and Creatures, Book 1",Jonathan Sleep
Robert Crais,Suspect,"Scott James, Book 1",MacLeod Andrews
"Robert Louis Stevenson , Marty Ross - adaptation",Treasure Island,,"Philip Glenister , Daniel Mays , Catherine Tate , Owen Teale"
